MERCADO,TICKER,STOCK,Date,Open,High,Low,Close,Volume,var%_today,ln,VH(10),VH(20),VH(30),VH(40),VH(60),VH-YTD
BCBA,GGAL,BCBA:GGAL,9/04/2025 17:00:00,6260,7100,5930,6980,5565661,"1,93%","0,0000000",,,,,,#NUM!
BCBA,GGAL,BCBA:GGAL,10/04/2025 17:00:00,6730,6830,6420,6670,3712599,"1,93%","-0,0454291",,,,,,#NUM!
BCBA,GGAL,BCBA:GGAL,11/04/2025 17:00:00,6900,7390,6880,7220,5669622,"1,93%","0,0792351",,,,,,#NUM!
BCBA,GGAL,BCBA:GGAL,14/04/2025 17:00:00,7710,7900,7370,7720,5581996,"1,93%","0,0669594",,,,,,#NUM!
BCBA,GGAL,BCBA:GGAL,15/04/2025 17:00:00,7750,7790,7360,7410,3745526,"1,93%","-0,0409839",,,,,,#NUM!
BCBA,GGAL,BCBA:GGAL,16/04/2025 17:00:00,7450,7500,7010,7070,3002787,"1,93%","-0,0469700",,,,,,#NUM!
BCBA,GGAL,BCBA:GGAL,21/04/2025 17:00:00,7000,7050,6690,6840,2097848,"1,93%","-0,0330727",,,,,,#NUM!
BCBA,GGAL,BCBA:GGAL,22/04/2025 17:00:00,6880,7350,6880,7280,2742896,"1,93%","0,0623431",,,,,,#NUM!
BCBA,GGAL,BCBA:GGAL,23/04/2025 17:00:00,7460,7720,7460,7580,3904285,"1,93%","0,0403823",,,,,,#NUM!
BCBA,GGAL,BCBA:GGAL,24/04/2025 17:00:00,7860,7930,7540,7580,3118905,"1,93%","0,0000000","0,9582707655",,,,,#NUM!
BCBA,GGAL,BCBA:GGAL,25/04/2025 17:00:00,7520,7730,7520,7610,2022374,"1,93%","0,0039500","0,9571887472",,,,,#NUM!
BCBA,GGAL,BCBA:GGAL,28/04/2025 17:00:00,7610,7690,7310,7430,1468569,"1,93%","-0,0239373","0,9158672193",,,,,#NUM!
BCBA,GGAL,BCBA:GGAL,29/04/2025 17:00:00,7420,7470,7240,7290,1631781,"1,93%","-0,0190223","0,8035645436",,,,,#NUM!
BCBA,GGAL,BCBA:GGAL,30/04/2025 17:00:00,7170,7340,7070,7190,2324950,"1,93%","-0,0138124","0,6719243605",,,,,#NUM!
BCBA,GGAL,BCBA:GGAL,5/05/2025 17:00:00,7030,7150,6910,6980,2393363,"1,93%","-0,0296423","0,6519338754",,,,,#NUM!
BCBA,GGAL,BCBA:GGAL,6/05/2025 17:00:00,7030,7190,6970,7100,2677886,"1,93%","0,0170459","0,6014566333",,,,,#NUM!
BCBA,GGAL,BCBA:GGAL,7/05/2025 17:00:00,7070,7070,6760,6800,2897768,"1,93%","-0,0431722","0,6268271449",,,,,#NUM!
BCBA,GGAL,BCBA:GGAL,8/05/2025 17:00:00,6820,6870,6650,6840,3105452,"1,93%","0,0058651","0,4701684693",,,,,#NUM!
BCBA,GGAL,BCBA:GGAL,9/05/2025 17:00:00,6840,6920,6700,6780,2140992,"1,93%","-0,0088106","0,3512571294",,,,,#NUM!
BCBA,GGAL,BCBA:GGAL,12/05/2025 17:00:00,6940,7300,6850,7290,7784835,"1,93%","0,0725264","0,6172422718","0,7934844352",,,,#NUM!
