,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
symbol,bidsize,bid,,ask,asksize,last,chg%,Strike,last VI,last VE,open,high,low,close,volume,nomvolume,lastupdate,Promedio,underlying,,
GGAL,264,"6.125,00",STOCK,"6130,00",2.602,"6125,00","-1,53%",,,,"6.190,00","6.220,00","6.000,00","6.220,00",8.698.380.145,1.419.416,13:36:45,"6128,14",,,
,,,,,,,,,,,,,,,,,,,,Precio GGAL,Volumen Total GGAL
GFGC43487J,2,"1883,470",CALL,"1932,480",10,"0,000","0,00%","4348,7",,,0,0,0,"2023,06",0,0,,,6.125,"6.125,00",8.698.380.145
GFGC4574JU,2,"1664,850",CALL,"1714,270",10,"1738,000","-4,53%","4574,0","69,22%","3,1%","1749,35","1749,35",1738,"1820,553",1.392.670,8,12:21:51,"1740,838",6.125,Volumen CALLS,Volumen PUTS
GFGC4774JU,2,"1470,790",CALL,"1520,560",10,"1545,620","-5,59%","4774,0","62,54%","3,2%",1640,1640,"1545,62","1637,17",3.892.956,25,11:29:12,"1557,182",6.125,772.856.298,815.065.121
GFGC5000JU,2,"1251,490",CALL,"1301,680",10,"1335,000","-4,21%","5000,0","56,84%","3,4%","1351,79","1351,79","1256,57","1393,7",3.464.261,26,13:03:19,"1332,408",6.125,,
GFGC5174JU,24,"1046,000",CALL,"0,000",0,"0,000","0,00%","5174,0",,,0,0,0,"1307,514",0,0,,,6.125,Vencimiento,19/06/2026 
GFGC5374JU,2,"905,761",CALL,"0,000",0,"0,000","0,00%","5374,0",,,0,0,0,1020,0,0,,,6.125,Plazo al Vto. (días),46
GFGC55487J,1,"800,000",CALL,"1157,200",1,"810,000","-9,70%","5548,7","38,96%","3,8%",800,810,800,897,1.682.000,21,13:11:18,"800,952",6.125,Plazo al Vto. (years),"0,1260"
GFGC5774JU,18,"635,000",CALL,"0,000",0,"628,286","-13,20%","5774,0","36,66%","4,5%","711,314","715,24","628,286","723,814",490.010,7,12:35:41,"700,014",6.125,TLR,"22,80%"
GFGC5974JU,6,"550,000",CALL,"570,877",1,"570,876","-7,92%","5974,0","46,23%","6,9%","599,999","600,01",510,"619,946",6.054.426,106,13:36:17,"571,172",6.125,Precio Acción,
GFGC61487J,9,"450,000",CALL,"464,150",49,"450,000","-13,25%","6148,7","43,22%","7,3%",472,"535,352",400,"518,706",65.343.383,1.402,13:35:36,"466,073",6.125,Costo Financiero al Vto $,
GFGC63487J,5,"345,010",CALL,"358,000",20,"350,000","-14,34%","6348,7","42,72%","5,7%",400,"407,38",315,"408,592",66.603.595,1.811,13:33:57,"367,772",6.125,Costo Financiero al Vto %,
GFGC65487J,9,"270,000",CALL,"274,000",9,"274,000","-13,59%","6548,7","43,17%","4,5%",300,320,"235,001","317,104",104.607.839,3.682,13:36:23,"284,106",6.125,CAUCIÓN,"22,80%"
GFGC67487J,44,"208,000",CALL,"208,789",2,"208,000","-13,83%","6748,7","43,08%","3,4%",242,260,189,"241,389",217.269.568,9.588,13:36:40,"226,606",6.125,,
GFGC6974JU,9,"150,000",CALL,"151,900",50,"150,000","-14,06%","6974,0","43,07%","2,4%",130,"190,365",100,"174,548",72.373.612,4.532,13:34:33,"159,695",6.125,,
GFGC71487J,1,"109,021",CALL,"114,499",1,"112,000","-17,04%","7148,7","42,62%","1,8%",78,155,78,"135,008",117.585.927,9.242,13:33:15,"127,230",6.125,,
GFGC73487J,10,"80,000",CALL,"81,000",24,"81,000","-17,81%","7348,7","42,61%","1,3%",93,105,"70,1","98,558",31.261.672,3.951,13:36:12,"79,123",6.125,,
GFGC75241J,5,"60,000",CALL,"61,996",3,"60,000","-16,39%","7524,1","42,56%","1,0%","59,98","76,999",50,"71,758",58.653.514,9.249,13:35:17,"63,416",6.125,,
GFGC77487J,1,"40,100",CALL,"41,000",34,"40,010","-19,89%","7748,7","42,45%","0,7%",44,"52,99","39,3","49,945",9.613.904,2.085,13:21:28,"46,110",6.125,,
GFGC79487J,10,"28,700",CALL,"30,610",33,"30,630","-14,88%","7948,7","43,40%","0,5%",32,40,"27,5","35,985",8.453.126,2.625,13:35:43,"32,202",6.125,,
GFGC82487J,30,"18,280",CALL,"18,500",100,"18,280","-14,51%","8248,7","43,71%","0,3%","15,055",23,"15,055","21,382",3.158.750,1.613,13:35:37,"19,583",6.125,,
GFGC85241J,1,"11,500",CALL,"12,160",1,"12,160","-7,77%","8524,1","44,55%","0,2%",11,"13,999",11,"13,184",377.120,316,13:34:42,"11,934",6.125,,
GFGC88241J,10,"7,855",CALL,"9,590",9,"9,599","0,29%","8824,1","46,84%","0,2%","9,5",10,"7,8","9,571",76.682,84,13:18:19,"9,129",6.125,,
GFGC91241J,10,"6,855",CALL,"7,000",100,"6,810","-9,24%","9124,1","48,15%","0,1%",7,8,"6,6","7,503",157.611,219,13:32:36,"7,197",6.125,,
GFGC9474JU,15,"4,588",CALL,"6,000",200,"6,400","4,54%","9474,0","51,77%","0,1%",6,"6,4","4,488","6,122",18.938,32,13:18:20,"5,918",6.125,,
GFGC10524J,10,"3,600",CALL,"3,988",16,"3,988","1,97%","10524,0","59,17%","0,1%",4,"4,25","3,199","3,911",130.576,347,13:35:17,"3,763",6.125,,
GFGC10924J,10,"3,288",CALL,"3,403",20,"3,396","-4,50%","10924,0","61,67%","0,1%","3,99","3,99","3,133","3,556",105.483,325,13:35:17,"3,246",6.125,,
GFGC11324J,16,"2,911",CALL,"2,959",28,"2,959","-11,27%","11324,0","64,12%","0,0%",2,"3,188",2,"3,335",88.677,296,13:35:50,"2,996",6.125,,
,,,CALL,,,"0,000","0,00%",,,,,,,,,,,,6.125,,
,,,CALL,,,"0,000","0,00%",,,,,,,,,,,,6.125,,
,,,,,,"0,000","0,00%",,,,,,,,,,,,,,
,,,,,,"0,000","0,00%",,,,,,,,,,,,,,
,,,,,,"0,000","0,00%",,,,,,,,,,,,,,
,,,,,,"0,000","0,00%",,,,,,,,,,,,,,
,,,,,,"0,000","0,00%",,,,,,,,,,,,,,
,,,,,,"0,000","0,00%",,,,,,,,,,,,,,
,,,,,,"0,000","0,00%",,,,,,,,,,,,,,
,,,,,,"0,000","0,00%",,,,,,,,,,,,,,
,,,,,,"0,000","0,00%",,,,,,,,,,,,,,
,,,,,,"0,000","0,00%",,,,,,,,,,,,,,
,,,,,,"0,000","0,00%",,,,,,,,,,,,,,
,,,,,,"0,000","0,00%",,,,,,,,,,,,,,
,,,,,,"0,000","0,00%",,,,,,,,,,,,,,
,,,,,,"0,000","0,00%",,,,,,,,,,,,,,
,,,,,,"0,000","0,00%",,,,,,,,,,,,,,
,,,,,,"0,000","0,00%",,,,,,,,,,,,,,
,,,,,,"0,000","0,00%",,,,,,,,,,,,,,
,,,,,,"0,000","0,00%",,,,,,,,,,,,,,
,,,,,,"0,000","0,00%",,,,,,,,,,,,,,
,,,,,,"0,000","0,00%",,,,,,,,,,,,,,
,,,,,,"0,000","0,00%",,,,,,,,,,,,,,
GFGV43487J,5,"3,512",PUT,"3,989",14,"3,989","27,69%","4348,7","47,22%","0,1%","3,75",4,"3,4","3,124",165.466,432,13:35:45,"3,830",6.125,,
GFGV4574JU,7,"6,030",PUT,"6,490",1,"6,500","29,30%","4574,0","44,57%","0,1%","5,5","7,5","5,5","5,027",250.856,408,13:25:45,"6,148",6.125,,
GFGV4774JU,39,"11,000",PUT,"12,929",6,"11,000","28,49%","4774,0","43,00%","0,2%","10,99","12,9","9,7","8,561",985.159,886,13:35:45,"11,119",6.125,,
GFGV5000JU,8,"18,260",PUT,"21,990",11,"21,990","55,84%","5000,0","42,42%","0,4%","22,5",92,"13,5","14,111",1.207.541,642,13:36:17,"18,809",6.125,,
GFGV5174JU,2,"31,100",PUT,"35,990",11,"36,147","51,17%","5174,0","42,14%","0,6%",29,"36,147","19,2","23,911",3.241.758,1.160,13:36:12,"27,946",6.125,,
GFGV5374JU,12,"54,060",PUT,"61,990",2,"58,990","45,35%","5374,0","41,49%","1,0%",40,63,"39,5","40,586",8.201.043,1.669,13:36:02,"49,137",6.125,,
GFGV55487J,4,"90,000",PUT,"93,000",24,"90,055","36,62%","5548,7","41,45%","1,5%","65,001",100,"55,001","65,914",16.820.197,1.946,13:35:45,"86,435",6.125,,
GFGV5774JU,10,"141,000",PUT,"148,990",1,"149,960","43,71%","5774,0","42,00%","2,4%",135,"178,999","100,001","104,35",30.123.569,2.261,13:32:58,"133,231",6.125,,
GFGV5974JU,6,"211,000",PUT,"217,000",1,"211,001","31,04%","5974,0","41,23%","3,4%",190,232,171,"161,019",158.526.187,7.978,13:36:26,"198,704",6.125,,
GFGV61487J,1,"291,000",PUT,"294,990",4,"291,000","31,56%","6148,7","42,21%","4,4%",200,320,200,"221,187",109.120.468,3.848,13:36:14,"283,577",6.125,,
GFGV63487J,2,"386,100",PUT,"397,000",6,"397,000","26,11%","6348,7","43,08%","2,8%",330,"475,432",315,"314,814",62.682.969,1.647,13:20:21,"380,589",6.125,,
GFGV65487J,5,"514,000",PUT,"529,000",5,"521,000","23,05%","6548,7","44,20%","1,6%",440,550,440,"423,421",105.548.945,2.166,13:30:18,"487,299",6.125,,
GFGV67487J,1,"641,110",PUT,"679,980",1,"648,010","21,91%","6748,7","44,00%","0,4%",630,695,"599,99","531,565",202.860.776,3.230,13:23:34,"628,052",6.125,,
GFGV6974JU,1,"840,000",PUT,"860,000",10,"860,000","15,28%","6974,0","50,82%","0,2%","768,49","897,99","768,49","746,015",60.340.127,732,13:33:44,"824,319",6.125,,
GFGV71487J,1,"970,510",PUT,"1030,000",2,"1020,010","16,78%","7148,7","54,95%","-0,1%",1020,1050,955,"873,464",20.890.897,210,13:20:46,"994,805",6.125,,
GFGV73487J,7,"1150,000",PUT,"1285,000",2,"1195,550","12,68%","7348,7","58,06%","-0,5%",1000,"1195,55",1000,1061,3.182.610,28,12:24:53,"1136,647",6.125,,
GFGV75241J,5,"1365,420",PUT,"1486,560",2,"1415,000","9,27%","7524,1","69,64%","0,3%",1300,1415,1300,"1295,004",26.764.857,199,12:33:34,"1344,968",6.125,,
GFGV77487J,1,"1414,850",PUT,"1691,050",2,"1457,140","27,26%","7748,7","45,67%","-2,7%",1500,1500,"1373,82",1145,4.151.696,28,12:34:03,"1482,749",6.125,,
GFGV79487J,18,"1596,900",PUT,"1881,480",2,"0,000","0,00%","7948,7",,,0,0,0,"1446,36",0,0,,,6.125,,
GFGV82487J,22,"1800,000",PUT,"2170,630",2,"0,000","0,00%","8248,7",,,0,0,0,"1298,9",0,0,,,6.125,,
GFGV85241J,0,"0,000",PUT,"0,000",0,"0,000","0,00%","8524,1",,,0,0,0,0,0,0,,,6.125,,
GFGV88241J,0,"0,000",PUT,"0,000",0,"0,000","0,00%","8824,1",,,0,0,0,0,0,0,,,6.125,,
GFGV91241J,5,"2723,160",PUT,"3038,300",2,"0,000","0,00%","9124,1",,,0,0,0,0,0,0,,,6.125,,
GFGV9474JU,0,"0,000",PUT,"0,000",0,"0,000","0,00%","9474,0",,,0,0,0,0,0,0,,,6.125,,
GFGV10524J,0,"0,000",PUT,"0,000",0,"0,000","0,00%","10524,0",,,0,0,0,"3503,983",0,0,,,6.125,,
GFGV10924J,0,"0,000",PUT,"0,000",0,"0,000","0,00%","10924,0",,,0,0,0,"3843,248",0,0,,,6.125,,
GFGV11324J,0,"0,000",PUT,"0,000",0,"0,000","0,00%","11324,0",,,0,0,0,0,0,0,,,6.125,,
,,,PUT,,,"0,000","0,00%",,,,,,,,,,,,6.125,,
,,,PUT,,,"0,000","0,00%",,,,,,,,,,,,6.125,,
